2012-01-01 - 2012-01-07,23
2012-01-08 - 2012-01-14,26
2012-01-15 - 2012-01-21,25
2012-01-22 - 2012-01-28,31
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,25
2012-02-12 - 2012-02-18,25
2012-02-19 - 2012-02-25,25
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,23
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,22
2012-03-25 - 2012-03-31,21
2012-04-01 - 2012-04-07,20
2012-04-08 - 2012-04-14,22
2012-04-15 - 2012-04-21,22
2012-04-22 - 2012-04-28,24
2012-04-29 - 2012-05-05,22
2012-05-06 - 2012-05-12,21
2012-05-13 - 2012-05-19,24
2012-05-20 - 2012-05-26,21
2012-05-27 - 2012-06-02,19
2012-06-03 - 2012-06-09,20
2012-06-10 - 2012-06-16,20
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,20
2012-07-01 - 2012-07-07,17
2012-07-08 - 2012-07-14,20
2012-07-15 - 2012-07-21,19
2012-07-22 - 2012-07-28,20
2012-07-29 - 2012-08-04,19
2012-08-05 - 2012-08-11,19
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,26
2012-09-02 - 2012-09-08,33
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,25
2012-09-23 - 2012-09-29,24
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,24
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,26
2012-10-28 - 2012-11-03,22
2012-11-04 - 2012-11-10,37
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,18
2012-11-25 - 2012-12-01,24
2012-12-02 - 2012-12-08,24
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,16
2012-12-23 - 2012-12-29,16
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,27
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,21
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,20
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,19
2013-03-31 - 2013-04-06,20
2013-04-07 - 2013-04-13,21
2013-04-14 - 2013-04-20,19
2013-04-21 - 2013-04-27,20
2013-04-28 - 2013-05-04,20
2013-05-05 - 2013-05-11,19
2013-05-12 - 2013-05-18,19
2013-05-19 - 2013-05-25,17
2013-05-26 - 2013-06-01,13
